campaign;DRN;site;running_id;date;stream_type;avg_depth_macroinvertebrates;avg_velocity_macroinvertebrates;Max_wetted_width_m;Min_wetted_width_m;Average_wetted_width_m;Bankfull_at_max__wetted_width_m;Bankfull_at_min__wetted_width_m;Embeddedness;bedrock;boulders;cobbles;gravel;sand;silt;particle_size;state_of_flow;if_IP_number_and_size_2_axes_+_depth_of_the_pools;Maximum_depth_cm;temperature_C;ph;conductivity_micros_cm;oxygen_mg_l;oxygen_sat;discharge_l_s;filamentous_algae;incrusted_algae;macrophyte_cover;leaf_litter_cover;moss_cover;wood_cover;reach_length_m;Latitude;Longitude;altitude_m;basin_area_km2;calcareous_geology_upstream;siliceous_geology_upstream;sedimentary_geology_upstream;slope;riparian_cover_in_the_riparian_area;native_riparian_species_richness;invasive_riparian_species_richness;left_river_bank_slope;right_river_bank_slope;shade;hydromorphological_alteration;volume_biofilm;m2_biofilm
1;Croatia;BUT01;BUT01_1;23.2.2021;PR;15.25;0.568125;5;2.5;3;8;1;10;0;0;40;30;30;5;3;F;;24;10.5;8.9;729;10.81;97.4;259.9171875;30;0;5;0;10;0;50;44.06934;16.19969;235;1.385;100;0;100;0.583;30;4;1;75;55;35;1;200;0.013
1;Croatia;BUT02;BUT02_1;23.2.2021;TR;44.9375;0.608125;26;6;17;40;0;10;0;5;80;15;5;5;3.681818182;F;;75;10.3;8.43;692;10.69;96.2;4645.694922;0;0;0;0;0;0;80;44.08295;16.1964;265;86.372;100;0;100;1.515;35;3;0;50;50;30;1;200;0.015
1;Croatia;BUT03;BUT03_1;23.2.2021;PR;40;0.24875;6;0.5;0.7;6;0;0;0;5;10;35;40;15;2.523809524;F;;83;13.2;8.69;643;9.49;91.7;69.65;25;10;5;10;5;0;50;44.095022;16.201489;277;0.182;100;0;100;5.556;50;3;0;10;100;70;2;200;0.0156
1;Croatia;BUT04;BUT04_1;23.2.2021;PR;28.625;0.59875;2;0.3;0.7;5;0.2;0;90;5;0;5;0;0;5.8;F;;52;12.2;8.53;533;10.16;96;119.9745313;0;10;0;0;5;0;50;44.10723;16.21079;291;10.822;100;0;100;3.174;20;5;0;50;50;80;1;200;0.0143
1;Croatia;BUT05;BUT05_1;23.2.2021;PR;53.75;0.765833333;20;12;16;22;6;0;0;5;40;30;30;0;3.19047619;F;;135;11;8.91;1007;9.37;86.4;6586.166667;10;10;0;0;0;0;100;44.12077;16.23463;313;184.94;100;0;95;0.434;60;7;1;400;75;60;1;200;0.0147
1;Croatia;BUT06;BUT06_1;23.2.2021;PR;22.625;0.259375;17;5;7;20;5;10;0;0;80;10;10;0;3.7;F;;40;9.4;8.76;467;10.65;94.8;410.7851563;10;10;0;5;5;0;50;44.14007;16.24889;327;23.511;100;0;100;0.312;30;3;0;75;100;25;1;200;0.0143
1;Croatia;BUT07;BUT07_1;24.2.2021;TR;16.625;0.08875;0.5;0.2;0.4;0.7;0.1;0;0;10;10;10;20;50;2.1;F;;35;10.3;9.64;520;9.49;88.8;5.901875;0;0;0;90;0;0;30;44.28407;16.19334;591;0.073;100;0;90;3.6;50;2;0;100;10;95;1;200;0.0182
1;Croatia;BUT08;BUT08_1;24.2.2021;PR;15.375;0.13875;1.2;0.3;0.4;1.3;0.2;0;0;5;15;50;30;0;2.95;F;;20;10.1;9.23;546;9.25;85.9;8.533125;0;0;5;10;5;5;30;44.27497;16.19177;568;0.173;100;0;90;17;0;3;0;10;10;95;2;200;0.0137
1;Croatia;BUT09;BUT09_1;24.2.2021;PR;38.25;0.385;5;1.1;1.7;7;1;0;0;15;40;30;15;0;3.55;F;;85;11.4;9.15;442;9.83;93.6;250.34625;0;0;0;10;0;5;50;44.25184;16.20854;507;4.551;100;0;90;8.152;20;4;0;700;80;70;1;200;0.0184
1;Croatia;BUT10;BUT10_1;24.2.2021;TR;0;0;0;0;0;7;0;0;0;25;25;30;20;0;3.55;D;;0;;;;;;0;;;;;;;50;44.24538;16.21483;509;0.287;100;0;90;26.548;0;2;0;10;10;80;1;200;0.0199
1;Croatia;BUT12;BUT12_1;24.2.2021;TR;0;0;0;0;0;14;2;0;0;5;25;50;15;5;3.1;D;;0;;;;;;0;;;;;;;50;44.22466;16.22298;448;0.188;100;0;90;12;0;0;0;20;20;10;1;200;0.0214
1;Croatia;BUT13;BUT13_1;24.2.2021;PR;29.41666667;0.494583333;22;10;19;45;7;10;0;20;80;5;5;0;4.045454545;F;;65;13.9;8.74;595;9.55;95.3;2764.308681;0;30;5;20;0;0;100;44.20055;16.23497;395;109.829;100;0;100;1.587;50;7;0;200;150;50;1;200;0.0197
1;Croatia;BUT14;BUT14_1;24.2.2021;TR;30.875;0.1075;2;0.3;0.7;5;0.2;0;0;30;10;50;10;0;3.6;IP;"1m * 0,7m; 20cm";47;10;8.76;753;9.44;85.7;23.2334375;0;10;0;30;0;0;50;44.18401;16.25182;369;2.565;100;0;100;6.315;20;3;0;500;70;50;2;200;0.0131
1;Croatia;BUT15;BUT15_1;25.2.2021;TR;0;0;0;0;0;5;0.5;0;0;0;80;10;10;0;3.7;D;;0;;;;;;0;;;;;;;50;44.1729;16.16125;448;0.215;100;0;80;3.144;0;0;0;10;10;5;1;200;0.0211
1;Croatia;BUT16;BUT16_1;25.2.2021;TR;13.625;0.1925;1;0.3;0.5;1.7;0.1;0;50;20;10;10;10;0;4.9;F;;17;12.2;9.34;534;10.06;97.3;13.1140625;0;0;0;10;0;0;40;44.17478;16.17286;462;2.382;100;0;80;8.403;0;3;0;700;50;95;1;200;0.017
1;Croatia;BUT17;BUT17_1;25.2.2021;TR;0;0;0;0;0;6.5;2;0;0;30;40;20;10;0;3.9;D;;0;;;;;;0;;;;;;;50;44.17306;16.16556;447;15.762;100;0;80;3.704;0;0;0;30;30;20;1;200;0.0205
1;Croatia;BUT18;BUT18_1;25.2.2021;PR;50.5;0.2375;3;1;2;5;1;0;0;5;20;30;30;20;2.619047619;F;;83;13.9;8.7;533;9.52;95.5;239.875;0;5;70;10;0;5;50;44.14856;16.15487;392;30.206;100;0;75;1.086;80;2;0;150;150;70;2;200;0.0156
1;Croatia;BUT19;BUT19_1;23.2.2021;TR;25;0.30375;1;0.7;0.8;1.2;0.5;0;0;0;60;20;20;0;3.4;F;;54;7.8;8.79;517;9.7;84.8;60.75;0;5;0;5;0;0;50;44.13955;16.25955;344;9.319;100;0;100;3.39;30;5;0;20;40;90;2;200;0.0181
1;Croatia;BUT20;BUT20_1;25.2.2021;TR;0;0;0;0;0;6;0.5;0;0;30;20;30;20;0;3.6;D;;0;;;;;;0;;;;;;;50;44.10039;16.15624;488;1.721;100;0;100;3.311;0;3;0;80;80;95;1;200;0.0205
1;Croatia;BUT23;BUT23_1;24.2.2021;PR;14.875;0.16625;2.5;0.4;1;2.5;0.1;0;0;0;50;20;30;0;3.2;F;;40;7.2;8.49;787;11;94.9;24.7296875;0;5;0;20;10;0;50;44.16428;16.26868;399;0.872;100;0;100;10;30;2;0;20;50;70;2;200;0.0146
2;Croatia;BUT01;BUT01_2;20.4.2021;PR;20.9375;0.55125;7;3;4.5;8;1;10;0;0;40;30;30;5;3;F;;32;10.4;8.49;718;12.95;118.9;519.3808594;70;0;0;0;0;0;50;44.06934;16.19969;235;1.385;100;0;100;0.583;30;4;1;75;55;35;1;200;0.0178
2;Croatia;BUT02;BUT02_2;20.4.2021;TR;39.4375;0.60375;29;8;19;40;0;10;0;5;80;15;5;5;3.681818182;F;;70;10.9;8.12;673;12.38;115.2;4523.974219;0;5;0;0;0;0;80;44.08295;16.1964;265;86.372;100;0;100;1.515;35;3;0;50;50;30;1;200;0.0229
