Sites;Date_Beg;Date_End;Country;Campaign;ConD;FreDr;mean_DrurD
BUT01;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT02;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT03;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT04;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT05;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT06;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT07;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT08;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT09;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT10;24.1.2021;23.2.2021;Croatia;1;31;1;0
BUT12;24.1.2021;23.2.2021;Croatia;1;31;1;0
BUT13;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT14;24.1.2021;23.2.2021;Croatia;1;31;1;0
BUT15;24.1.2021;23.2.2021;Croatia;1;15;2;5
BUT16;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT17;24.1.2021;23.2.2021;Croatia;1;24;3;8
BUT18;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT19;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT20;24.1.2021;23.2.2021;Croatia;1;10;2;5
BUT23;24.1.2021;23.2.2021;Croatia;1;0;0;0
BUT01;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT02;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT03;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT04;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT05;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT06;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT07;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT08;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT09;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT10;21.3.2021;20.4.2021;Croatia;2;25;3;8.333333333
BUT12;21.3.2021;20.4.2021;Croatia;2;31;1;0
BUT13;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT14;21.3.2021;20.4.2021;Croatia;2;31;1;0
BUT15;21.3.2021;20.4.2021;Croatia;2;31;1;0
BUT16;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT17;21.3.2021;20.4.2021;Croatia;2;31;1;0
BUT18;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT19;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT20;21.3.2021;20.4.2021;Croatia;2;31;1;0
BUT23;21.3.2021;20.4.2021;Croatia;2;0;0;0
BUT01;8.5.2021;7.6.2021;Croatia;3;0;0;0
BUT02;8.5.2021;7.6.2021;Croatia;3;0;0;0
BUT03;8.5.2021;7.6.2021;Croatia;3;0;0;0
BUT04;8.5.2021;7.6.2021;Croatia;3;0;0;0
